# rubi-harness, symplex 0.23.0: 215 files, 72254 entries, 12 jobs, timeout 10 s, check timeout 30 s, wall 14 s
path	total	unsupported	verified	real_verified	unevaluated	wrong	undecided	timeout	panic	seconds
6 Hyperbolic functions/6.1 Hyperbolic sine/6.1.3 (e x)^m (a+b sinh(c+d x^n))^p.mac	102	0	5	0	97	0	0	0	0	0.1
6 Hyperbolic functions/6.1 Hyperbolic sine/6.1.4 (d+e x)^m sinh(a+b x+c x^2)^n.mac	33	0	0	0	33	0	0	0	0	0.0
6 Hyperbolic functions/6.1 Hyperbolic sine/6.1.5 Hyperbolic sine functions.mac	369	0	22	0	347	0	0	0	0	0.3
6 Hyperbolic functions/6.1 Hyperbolic sine/6.1.7 hyper^m (a+b sinh^n)^p.mac	525	0	13	0	512	0	0	0	0	1.5
6 Hyperbolic functions/6.2 Hyperbolic cosine/6.2.1 (c+d x)^m (a+b cosh)^n.mac	183	0	4	0	179	0	0	0	0	0.1
6 Hyperbolic functions/6.2 Hyperbolic cosine/6.2.2 (e x)^m (a+b x^n)^p cosh.mac	111	0	12	0	99	0	0	0	0	0.1
6 Hyperbolic functions/6.2 Hyperbolic cosine/6.2.3 (e x)^m (a+b cosh(c+d x^n))^p.mac	68	0	5	0	63	0	0	0	0	0.1
6 Hyperbolic functions/6.2 Hyperbolic cosine/6.2.4 (d+e x)^m cosh(a+b x+c x^2)^n.mac	33	0	0	0	33	0	0	0	0	0.0
6 Hyperbolic functions/6.2 Hyperbolic cosine/6.2.5 Hyperbolic cosine functions.mac	336	0	30	0	306	0	0	0	0	0.3
6 Hyperbolic functions/6.2 Hyperbolic cosine/6.2.7 hyper^m (a+b cosh^n)^p.mac	85	0	11	0	74	0	0	0	0	1.1
6 Hyperbolic functions/6.3 Hyperbolic tangent/6.3.1 (c+d x)^m (a+b tanh)^n.mac	77	0	1	0	76	0	0	0	0	0.1
6 Hyperbolic functions/6.3 Hyperbolic tangent/6.3.2 Hyperbolic tangent functions.mac	204	0	47	0	157	0	0	0	0	0.3
6 Hyperbolic functions/6.3 Hyperbolic tangent/6.3.7 (d hyper)^m (a+b (c tanh)^n)^p.mac	263	0	2	0	261	0	0	0	0	0.2
6 Hyperbolic functions/6.4 Hyperbolic cotangent/6.4.1 (c+d x)^m (a+b coth)^n.mac	61	0	0	0	61	0	0	0	0	0.1
6 Hyperbolic functions/6.4 Hyperbolic cotangent/6.4.2 Hyperbolic cotangent functions.mac	181	0	30	0	151	0	0	0	0	0.2
6 Hyperbolic functions/6.4 Hyperbolic cotangent/6.4.7 (d hyper)^m (a+b (c coth)^n)^p.mac	53	0	2	0	51	0	0	0	0	0.1
6 Hyperbolic functions/6.5 Hyperbolic secant/6.5.1 (c+d x)^m (a+b sech)^n.mac	16	0	1	0	15	0	0	0	0	0.0
